"","SE","tipo","categoria","numero","id","sector","x","y","hubname","dist","az","shp","id_ori","id_hub","depend"
"1","bio","ben","regulating",3,1,"0",488666.367903893,4674610.15144182,27,2588.27787057488,164.541691934731,"0_ben_exp_bio","0_ben_exp_bio_1","0_sum_exp_bio_27","dd"
"2","bio","ben","regulating",3,2,"0",497021.181605878,4679152.8472327,28,4147.81715162582,57.7178259960647,"0_ben_exp_bio","0_ben_exp_bio_2","0_sum_exp_bio_28","dd"
"3","bio","ben","regulating",3,3,"0",514910.973277168,4679190.312765,22,3022.47545594538,78.1109641502667,"0_ben_exp_bio","0_ben_exp_bio_3","0_sum_exp_bio_22","dd"
"4","bio","ben","regulating",3,4,"0",523528.045705224,4682702.70641774,22,12291.1666997743,70.3406910693678,"0_ben_exp_bio","0_ben_exp_bio_4","0_sum_exp_bio_22","dd"
"5","bio","ben","regulating",3,5,"0",516924.745638072,4687357.7988055,21,10011.9976559012,53.3400975421418,"0_ben_exp_bio","0_ben_exp_bio_5","0_sum_exp_bio_21","dd"
"6","bio","ben","regulating",3,6,"0",490225.87068571,4694471.56675019,12,2114.83196477877,280.697575320785,"0_ben_exp_bio","0_ben_exp_bio_6","0_sum_exp_bio_12","dd"
"7","bio","ben","regulating",3,7,"0",509871.85918337,4676951.74721032,23,1891.08231611031,14.8010965339479,"0_ben_exp_bio","0_ben_exp_bio_7","0_sum_exp_bio_23","dd"
"8","bio","ben","regulating",3,8,"0",478672.437163964,4664119.80239897,8,15395.3275480215,206.284163740783,"0_ben_exp_bio","0_ben_exp_bio_8","0_sum_exp_bio_8","dd"
"9","bio","ben","regulating",3,9,"0",472977.676254988,4674057.53484046,2,10264.6582851675,202.302685332835,"0_ben_exp_bio","0_ben_exp_bio_9","0_sum_exp_bio_2","dd"
"10","bio","ben","regulating",3,10,"0",511642.105584352,4662031.09897348,24,12440.1278260158,163.100972868401,"0_ben_exp_bio","0_ben_exp_bio_10","0_sum_exp_bio_24","dd"
"11","hum","ben","provisioning",2,1,"0",489597.408233806,4696493.15404287,4,6834.53323968183,286.325182252963,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_1","0_sum_exp_cons_hum_4","dd"
"12","hum","ben","provisioning",2,2,"0",489935.000888432,4695277.82048621,4,6261.28961388361,276.472161070829,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_2","0_sum_exp_cons_hum_4","dd"
"13","hum","ben","provisioning",2,3,"0",479537.147125957,4692577.07924921,1,3839.83611592383,293.822514065304,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_3","0_sum_exp_cons_hum_1","dd"
"14","hum","ben","provisioning",2,4,"0",476802.646623487,4684002.22582171,2,6347.53311128051,247.93563630739,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_4","0_sum_exp_cons_hum_2","dd"
"15","hum","ben","provisioning",2,5,"0",486356.518749398,4690382.72699414,1,3368.70363482541,101.011177336634,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_5","0_sum_exp_cons_hum_1","dd"
"16","hum","ben","provisioning",2,6,"0",484651.675843538,4677402.28942377,2,9197.04311830683,167.6545708592,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_6","0_sum_exp_cons_hum_2","dd"
"17","hum","ben","provisioning",2,7,"0",489529.889702881,4676051.91880527,7,11561.4299748574,211.533307078617,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_7","0_sum_exp_cons_hum_7","dd"
"18","hum","ben","provisioning",2,8,"0",488601.50990266,4674448.3536958,2,13323.8416037427,153.638596687127,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_8","0_sum_exp_cons_hum_2","dd"
"19","hum","ben","provisioning",2,9,"0",492804.538452752,4677782.08116023,7,8583.93302726927,198.839519083328,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_9","0_sum_exp_cons_hum_7","dd"
"20","hum","ben","provisioning",2,10,"0",497310.078182729,4678141.30996668,7,7956.01228373281,167.414181553608,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_10","0_sum_exp_cons_hum_7","dd"
"21","hum","ben","provisioning",2,11,"0",496649.316974692,4679429.79432235,7,6564.61444825372,170.593849053154,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_11","0_sum_exp_cons_hum_7","dd"
"22","hum","ben","provisioning",2,12,"0",499160.209565232,4679578.46559415,7,7272.06035586183,150.474414570018,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_12","0_sum_exp_cons_hum_7","dd"
"23","hum","ben","provisioning",2,13,"0",493973.234082143,4674325.41399026,7,11691.1775403835,187.881827700561,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_13","0_sum_exp_cons_hum_7","dd"
"24","hum","ben","provisioning",2,14,"0",492651.71166607,4682799.67648333,7,4266.64267436701,223.274103055198,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_14","0_sum_exp_cons_hum_7","dd"
"25","hum","ben","provisioning",2,15,"0",503653.385779881,4681180.81152365,6,8223.99171195261,158.307619661973,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_15","0_sum_exp_cons_hum_6","dd"
"26","hum","ben","provisioning",2,16,"0",501026.859977935,4684286.38920142,6,4554.79096193128,174.794444830369,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_16","0_sum_exp_cons_hum_6","dd"
"27","hum","ben","provisioning",2,17,"0",503686.423840283,4686599.05342955,6,3792.81478629067,125.887678479951,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_17","0_sum_exp_cons_hum_6","dd"
"28","hum","ben","provisioning",2,18,"0",505321.807830174,4688184.88032884,6,4751.16537595086,97.7112389789382,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_18","0_sum_exp_cons_hum_6","dd"
"29","hum","ben","provisioning",2,19,"0",500064.626468732,4693202.53575237,5,1373.37457719297,45.2542240920746,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_19","0_sum_exp_cons_hum_5","dd"
"30","hum","ben","provisioning",2,20,"0",497900.633512412,4691034.41303849,5,1689.93134880223,224.694389850004,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_20","0_sum_exp_cons_hum_5","dd"
"31","hum","ben","provisioning",2,21,"0",516715.808911258,4686945.95306377,6,16211.1663723315,96.6468816589427,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_21","0_sum_exp_cons_hum_6","dd"
"32","hum","ben","provisioning",2,22,"0",522910.445236602,4682064.5796394,6,23298.4339279938,106.861216753365,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_22","0_sum_exp_cons_hum_6","dd"
"33","hum","ben","provisioning",2,23,"0",515163.020072372,4678298.24075359,6,17956.7037588225,125.879673137534,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_23","0_sum_exp_cons_hum_6","dd"
"34","hum","ben","provisioning",2,24,"0",512486.937179823,4679074.63517303,6,15362.1210296256,129.385291390671,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_24","0_sum_exp_cons_hum_6","dd"
"35","hum","ben","provisioning",2,25,"0",511000.22446174,4678777.29262941,6,14449.4248005673,134.042393650681,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_25","0_sum_exp_cons_hum_6","dd"
"36","hum","ben","provisioning",2,26,"0",509530.030773858,4677092.35154892,6,14734.1951111086,142.760241956548,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_26","0_sum_exp_cons_hum_6","dd"
"37","hum","ben","provisioning",2,27,"0",507225.626060831,4680107.07456058,6,10939.6337506314,142.813639609602,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_27","0_sum_exp_cons_hum_6","dd"
"38","hum","ben","provisioning",2,28,"0",505953.66073536,4678455.17154049,6,11661.70983347,152.747456282571,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_28","0_sum_exp_cons_hum_6","dd"
"39","hum","ben","provisioning",2,29,"0",502881.121117989,4678719.47602371,7,10247.2647922444,134.533453252022,"0_ben_exp_cons_hum","0_ben_exp_cons_hum_29","0_sum_exp_cons_hum_7","dd"
