"","SE","tipo","categoria","numero","id","sector","x","y","shp","id_hub","depend"
"1","bio","sum","regulating",3,1,"0",478756.278608023,4684025.1062422,"0_sum_exp_bio","0_sum_exp_bio_1","dd"
"2","bio","sum","regulating",3,2,"0",476873.109165119,4683554.31388148,"0_sum_exp_bio","0_sum_exp_bio_2","dd"
"3","bio","sum","regulating",3,3,"0",474618.261542694,4687419.76694849,"0_sum_exp_bio","0_sum_exp_bio_3","dd"
"4","bio","sum","regulating",3,4,"0",475820.02098981,4685833.9400492,"0_sum_exp_bio","0_sum_exp_bio_4","dd"
"5","bio","sum","regulating",3,5,"0",478929.728425133,4691594.95183177,"0_sum_exp_bio","0_sum_exp_bio_5","dd"
"6","bio","sum","regulating",3,6,"0",480602.280232975,4691334.77710611,"0_sum_exp_bio","0_sum_exp_bio_6","dd"
"7","bio","sum","regulating",3,7,"0",483154.470399017,4690975.48819924,"0_sum_exp_bio","0_sum_exp_bio_7","dd"
"8","bio","sum","regulating",3,8,"0",485489.848293671,4677923.38946174,"0_sum_exp_bio","0_sum_exp_bio_8","dd"
"9","bio","sum","regulating",3,9,"0",492303.948251549,4677378.26146511,"0_sum_exp_bio","0_sum_exp_bio_9","dd"
"10","bio","sum","regulating",3,10,"0",488773.005546103,4698440.02497127,"0_sum_exp_bio","0_sum_exp_bio_10","dd"
"11","bio","sum","regulating",3,11,"0",491337.584984795,4690845.4008364,"0_sum_exp_bio","0_sum_exp_bio_11","dd"
"12","bio","sum","regulating",3,12,"0",492303.948251549,4694079.00099823,"0_sum_exp_bio","0_sum_exp_bio_12","dd"
"13","bio","sum","regulating",3,13,"0",495165.870233858,4692096.71737412,"0_sum_exp_bio","0_sum_exp_bio_13","dd"
"14","bio","sum","regulating",3,14,"0",496671.166860916,4691786.98555786,"0_sum_exp_bio","0_sum_exp_bio_14","dd"
"15","bio","sum","regulating",3,15,"0",502017.138009688,4696470.13061982,"0_sum_exp_bio","0_sum_exp_bio_15","dd"
"16","bio","sum","regulating",3,16,"0",501323.338741249,4694314.3971786,"0_sum_exp_bio","0_sum_exp_bio_16","dd"
"17","bio","sum","regulating",3,17,"0",502735.715823428,4690994.07210821,"0_sum_exp_bio","0_sum_exp_bio_17","dd"
"18","bio","sum","regulating",3,18,"0",500592.371654859,4684799.43578287,"0_sum_exp_bio","0_sum_exp_bio_18","dd"
"19","bio","sum","regulating",3,19,"0",501236.613832694,4687240.12249506,"0_sum_exp_bio","0_sum_exp_bio_19","dd"
"20","bio","sum","regulating",3,20,"0",496132.233500611,4686484.37686337,"0_sum_exp_bio","0_sum_exp_bio_20","dd"
"21","bio","sum","regulating",3,21,"0",508893.184330819,4681379.99653129,"0_sum_exp_bio","0_sum_exp_bio_21","dd"
"22","bio","sum","regulating",3,22,"0",511953.334675539,4678567.63163958,"0_sum_exp_bio","0_sum_exp_bio_22","dd"
"23","bio","sum","regulating",3,23,"0",509388.755236847,4675123.41384269,"0_sum_exp_bio","0_sum_exp_bio_23","dd"
"24","bio","sum","regulating",3,24,"0",508025.935245271,4673934.04366823,"0_sum_exp_bio","0_sum_exp_bio_24","dd"
"25","bio","sum","regulating",3,25,"0",507802.928337559,4682259.63488949,"0_sum_exp_bio","0_sum_exp_bio_25","dd"
"26","bio","sum","regulating",3,26,"0",506043.651621161,4681268.49307743,"0_sum_exp_bio","0_sum_exp_bio_26","dd"
"27","bio","sum","regulating",3,27,"0",487976.495804075,4677104.79747307,"0_sum_exp_bio","0_sum_exp_bio_27","dd"
"28","bio","sum","regulating",3,28,"0",493514.500675897,4676937.54229238,"0_sum_exp_bio","0_sum_exp_bio_28","dd"
"29","bio","sum","regulating",3,29,"0",501988.763164324,4689611.76820708,"0_sum_exp_bio","0_sum_exp_bio_29","dd"
